Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,0.476563,0.477679,0.419643,0.433036,0.373001,2424788800
2000-10-03,0.445313,0.446429,0.396205,0.398438,0.343200,2038120000
2000-10-04,0.399554,0.424107,0.390625,0.421875,0.363388,1466024000
2000-10-05,0.419643,0.437500,0.392857,0.393973,0.339354,873006400
2000-10-06,0.405134,0.409598,0.375000,0.396205,0.341276,612656800
2000-10-09,0.404018,0.408482,0.377232,0.388393,0.334548,597564800
2000-10-10,0.386161,0.400670,0.366071,0.372768,0.321089,691101600
2000-10-11,0.359375,0.375000,0.341518,0.350446,0.301861,1198422400
2000-10-12,0.362723,0.371652,0.348214,0.357143,0.307630,1191064000
2000-10-13,0.361607,0.395089,0.357143,0.393973,0.339354,1247752800
2000-10-16,0.398438,0.415179,0.381696,0.383929,0.330702,820176000
2000-10-17,0.387277,0.391741,0.351563,0.359375,0.309552,601720000
2000-10-18,0.347098,0.376116,0.334821,0.359375,0.309552,834265600
2000-10-19,0.342076,0.353795,0.327009,0.338170,0.291287,1506724800
2000-10-20,0.340402,0.363839,0.338170,0.348214,0.299939,791263200
2000-10-23,0.361886,0.367188,0.347098,0.363839,0.313398,551292000
2000-10-24,0.369420,0.372768,0.335938,0.337054,0.290326,804451200
2000-10-25,0.340402,0.342634,0.329241,0.330357,0.284557,663969600
2000-10-26,0.335938,0.337054,0.312500,0.330357,0.284557,721851200
2000-10-27,0.337054,0.342634,0.319196,0.331473,0.285519,744503200
2000-10-30,0.341518,0.356027,0.334821,0.344866,0.297055,639189600
2000-10-31,0.352679,0.361607,0.343750,0.349330,0.300900,885880800
2000-11-01,0.347098,0.372768,0.347098,0.366071,0.315320,575366400
2000-11-02,0.377232,0.400670,0.376116,0.398438,0.343200,590693600
2000-11-03,0.410714,0.410714,0.391741,0.397321,0.342238,515821600
2000-11-06,0.400670,0.404018,0.372768,0.382813,0.329741,393478400
2000-11-07,0.383929,0.389509,0.371652,0.380580,0.327818,301963200
2000-11-08,0.381696,0.382813,0.353795,0.358259,0.308591,422088800
2000-11-09,0.354911,0.366071,0.340402,0.360491,0.310514,476834400
2000-11-10,0.345703,0.354911,0.340402,0.340402,0.293210,422251200
2000-11-13,0.334821,0.357143,0.325893,0.345982,0.298016,431816000
2000-11-14,0.356027,0.366071,0.349330,0.361607,0.311475,409001600
2000-11-15,0.357701,0.360491,0.343750,0.354911,0.305707,282357600
2000-11-16,0.348214,0.353795,0.337054,0.339286,0.292249,239372000
2000-11-17,0.342634,0.343750,0.325893,0.330357,0.284557,446180000
2000-11-20,0.332031,0.348214,0.325893,0.338170,0.291287,408066400
2000-11-21,0.342634,0.348214,0.334821,0.335938,0.289365,301952000
2000-11-22,0.335938,0.341518,0.328125,0.330357,0.284557,280532000
2000-11-24,0.336775,0.348214,0.335938,0.344866,0.297055,160932800
2000-11-27,0.354911,0.356027,0.330357,0.333705,0.287441,258792800
2000-11-28,0.333705,0.339286,0.320313,0.321987,0.277348,269124800
2000-11-29,0.323103,0.327009,0.308036,0.313616,0.270137,492150400
2000-11-30,0.297991,0.303571,0.287946,0.294643,0.253795,809597600
2000-12-01,0.303571,0.312500,0.300223,0.304688,0.262447,385705600
2000-12-04,0.306920,0.306920,0.293527,0.297991,0.256679,371520800
2000-12-05,0.302455,0.311384,0.292411,0.303571,0.261485,613978400
2000-12-06,0.261161,0.267857,0.250000,0.255580,0.220147,1374464000
2000-12-07,0.257813,0.265625,0.250000,0.255580,0.220147,408917600
2000-12-08,0.264509,0.273438,0.257813,0.268973,0.231683,435624000
2000-12-11,0.271205,0.274554,0.265625,0.271205,0.233606,332511200
2000-12-12,0.272321,0.285714,0.267857,0.274554,0.236491,386260000
